#knew before RPI,share(d) dormroom or apartment,met in CSCI 1200 Data Structures,met at RPI,met today!,total
0,0,11,7,22,40
0,1,2,3,34,40
0,0,2,1,37,40
0,1,3,7,29,40
0,0,2,5,33,40
0,0,2,3,35,40
0,2,1,4,33,40
0,0,4,5,31,40
0,0,1,5,34,40
0,0,1,6,33,40
0,4,2,3,31,40
0,0,0,4,36,40
0,0,1,8,31,40
0,0,0,2,38,40
0,1,1,1,37,40
0,0,8,4,28,40
0,1,2,9,28,40
0,0,1,5,34,40
0,0,4,1,35,40
0,0,3,6,31,40
0,0,1,4,35,40
0,0,1,0,39,40
0,0,0,3,37,40
0,0,0,5,35,40
1,0,2,1,36,40
1,0,3,0,36,40
1,0,0,4,35,40
1,1,2,1,35,40
#0.1428571429,0.3928571429,2.142857143,3.821428571,33.5
